type,index,x,y
true,0,-5.1394,-23.4971
true,1,28.4662,2.8192
true,2,-5.6386,12.8190
true,3,17.5222,10.0798
true,4,30.1304,-37.6987
true,5,16.4219,-35.5874
true,6,23.0945,36.1899
true,7,-24.0263,5.7066
true,8,-16.3244,-11.1018
true,9,-2.8684,-9.6489
true,10,-29.1847,-29.6066
true,11,16.7640,25.2565
true,12,-18.9298,24.9807
true,13,25.3943,27.5932
true,14,12.9176,-39.6058
true,15,-27.1392,26.9951
true,16,21.5968,-26.1625
true,17,18.0944,-11.4821
true,18,-25.6868,-1.7708
true,19,-24.7967,34.7077
estimated,0,-6.3685,-23.1949
estimated,1,28.5883,1.3898
estimated,2,-4.9819,13.0820
estimated,3,18.0177,9.1855
estimated,4,-23.7339,6.8866
estimated,5,-16.8977,-10.2249
estimated,6,-3.3589,-9.4959
estimated,7,17.4948,-12.3892
estimated,8,-25.7592,-0.4943
estimated,9,18.0064,24.4077
estimated,10,26.7364,26.3280
estimated,11,24.8377,35.0444
estimated,12,-17.6326,25.9441
estimated,13,-26.0726,28.7642
estimated,14,-23.0189,36.0357
